Fighter,Format,Weight Class,date,form_last_5,KD_rolling_mean,Sub. Att_rolling_mean,Reversal_rolling_mean,Control Time Sec_rolling_mean,Total_fight_length_sec_rolling_mean,landed_sig_str_rolling_mean,atmp_sig_str_rolling_mean,landed_total_str_rolling_mean,atmp_total_str_rolling_mean,landed_td_rolling_mean,atmp_td_rolling_mean,landed_head_rolling_mean,atmp_head_rolling_mean,landed_body_rolling_mean,atmp_body_rolling_mean,landed_leg_rolling_mean,atmp_leg_rolling_mean,landed_distance_rolling_mean,atmp_distance_rolling_mean,landed_clinch_rolling_mean,atmp_clinch_rolling_mean,landed_ground_rolling_mean,atmp_ground_rolling_mean,sig_str_lpm_rolling_mean,total_str_lpm_rolling_mean,head_lpm_rolling_mean,body_lpm_rolling_mean,leg_lpm_rolling_mean,distance_lpm_rolling_mean,clinch_lpm_rolling_mean,ground_lpm_rolling_mean
Steve Erceg,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,1.0,0.0,1.0,0.0,287.0,300.0,20.0,53.0,39.0,82.0,3.0,10.0,10.0,42.0,10.0,11.0,0.0,0.0,12.0,43.0,6.0,8.0,2.0,2.0,4.0,7.8,2.0,2.0,0.0,2.4,1.2,0.4
Ode Osbourne,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,0.0,0.0,0.0,1.0,69.0,300.0,35.0,74.0,47.0,89.0,1.0,2.0,20.0,53.0,4.0,7.0,11.0,14.0,29.0,68.0,1.0,1.0,5.0,5.0,7.0,9.4,4.0,0.8,2.2,5.8,0.2,1.0
Julius Walker,"Time format:
        
        3 Rnd (5-5-5)",Heavyweight,0,1.0,1.0,0.0,0.0,706.0,300.0,44.0,62.0,96.0,120.0,6.0,10.0,26.0,43.0,9.0,10.0,9.0,9.0,18.0,26.0,4.0,9.0,22.0,27.0,8.8,19.2,5.2,1.8,1.8,3.6,0.8,4.4
Rafael Cerqueira,"Time format:
        
        3 Rnd (5-5-5)",Heavyweight,0,0.0,0.0,0.0,0.0,27.0,300.0,19.0,42.0,30.0,54.0,0.0,0.0,15.0,37.0,0.0,1.0,4.0,4.0,19.0,42.0,0.0,0.0,0.0,0.0,3.8,6.0,3.0,0.0,0.8,3.8,0.0,0.0
Joselyne Edwards,"Time format:
        
        3 Rnd (5-5-5)",Women's Bantamweight,0,1.0,1.0,0.0,0.0,1.0,144.0,26.0,44.0,26.0,44.0,0.0,2.0,16.0,29.0,5.0,10.0,5.0,5.0,24.0,42.0,0.0,0.0,2.0,2.0,10.833333333333334,10.833333333333334,6.666666666666667,2.0833333333333335,2.0833333333333335,10.0,0.0,0.8333333333333334
Priscila Cachoeira,"Time format:
        
        3 Rnd (5-5-5)",Women's Bantamweight,0,0.0,0.0,0.0,0.0,0.0,144.0,18.0,50.0,18.0,50.0,0.0,0.0,15.0,47.0,1.0,1.0,2.0,2.0,18.0,50.0,0.0,0.0,0.0,0.0,7.5,7.5,6.25,0.4166666666666667,0.8333333333333334,7.5,0.0,0.0
Eryk Anders,"Time format:
        
        3 Rnd (5-5-5)",Middleweight,0,0.0,0.0,0.0,0.0,78.0,233.0,7.0,12.0,18.0,24.0,1.0,3.0,2.0,7.0,4.0,4.0,1.0,1.0,4.0,9.0,3.0,3.0,0.0,0.0,1.8025751072961373,4.635193133047211,0.5150214592274678,1.0300429184549356,0.2575107296137339,1.0300429184549356,0.7725321888412017,0.0
Christian Leroy Duncan,"Time format:
        
        3 Rnd (5-5-5)",Middleweight,0,1.0,1.0,0.0,0.0,39.0,233.0,24.0,43.0,27.0,46.0,0.0,0.0,9.0,26.0,3.0,4.0,12.0,13.0,20.0,37.0,3.0,3.0,1.0,3.0,6.180257510729613,6.952789699570816,2.3175965665236054,0.7725321888412017,3.0901287553648067,5.150214592274678,0.7725321888412017,0.2575107296137339
Elijah Smith,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,1.0,0.0,0.0,1.0,229.0,250.0,37.0,46.0,61.0,74.0,0.0,0.0,35.0,44.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,36.0,43.0,8.879999999999999,14.639999999999999,8.399999999999999,0.48,0.0,0.24,0.0,8.639999999999999
Toshiomi Kazama,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,0.0,0.0,1.0,1.0,5.0,250.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
Miles Johns,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,0.0,0.0,0.0,0.0,192.0,300.0,83.0,184.0,89.0,191.0,5.0,8.0,70.0,170.0,12.0,13.0,1.0,1.0,78.0,175.0,5.0,8.0,0.0,1.0,16.6,17.8,14.0,2.4,0.2,15.6,1.0,0.0
Jean Matsumoto,"Time format:
        
        3 Rnd (5-5-5)",Bantamweight,0,1.0,0.0,2.0,1.0,56.0,300.0,95.0,233.0,109.0,249.0,0.0,3.0,49.0,160.0,27.0,38.0,19.0,35.0,87.0,224.0,8.0,9.0,0.0,0.0,19.0,21.8,9.8,5.4,3.8,17.4,1.6,0.0
Roman Dolidze,"Time format:
        
        5 Rnd (5-5-5-5-5)",Middleweight,0,0.0,0.0,0.0,0.0,45.0,165.0,36.0,107.0,39.0,110.0,0.0,1.0,25.0,88.0,4.0,11.0,7.0,8.0,34.0,101.0,2.0,6.0,0.0,0.0,13.090909090909092,14.181818181818182,9.090909090909092,1.4545454545454546,2.5454545454545454,12.363636363636363,0.7272727272727273,0.0
Anthony Hernandez,"Time format:
        
        5 Rnd (5-5-5-5-5)",Middleweight,0,1.0,0.0,1.0,0.0,468.0,165.0,91.0,152.0,120.0,187.0,9.0,11.0,67.0,128.0,6.0,6.0,18.0,18.0,48.0,102.0,13.0,18.0,30.0,32.0,33.09090909090909,43.63636363636363,24.363636363636363,2.1818181818181817,6.545454545454546,17.454545454545453,4.7272727272727275,10.909090909090908
