Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee,date,win,form_last_5,Control Time Sec,Total_fight_length_sec,landed_sig_str,atmp_sig_str,landed_total_str,atmp_total_str,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,sig_str_lpm,total_str_lpm,head_lpm,body_lpm,leg_lpm,distance_lpm,clinch_lpm,ground_lpm,sig_str_acc,total_str_acc,td_acc,head_acc,body_acc,leg_acc,distance_acc,clinch_acc,ground_acc,KD_rolling_mean,Sub. Att_rolling_mean,Reversal_rolling_mean,Control Time Sec_rolling_mean,Total_fight_length_sec_rolling_mean,landed_sig_str_rolling_mean,atmp_sig_str_rolling_mean,landed_total_str_rolling_mean,atmp_total_str_rolling_mean,landed_td_rolling_mean,atmp_td_rolling_mean,landed_head_rolling_mean,atmp_head_rolling_mean,landed_body_rolling_mean,atmp_body_rolling_mean,landed_leg_rolling_mean,atmp_leg_rolling_mean,landed_distance_rolling_mean,atmp_distance_rolling_mean,landed_clinch_rolling_mean,atmp_clinch_rolling_mean,landed_ground_rolling_mean,atmp_ground_rolling_mean,sig_str_lpm_rolling_mean,total_str_lpm_rolling_mean,head_lpm_rolling_mean,body_lpm_rolling_mean,leg_lpm_rolling_mean,distance_lpm_rolling_mean,clinch_lpm_rolling_mean,ground_lpm_rolling_mean
UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg - Ode Osbourne,Steve Erceg,Bantamweight,W,0,20 of 53,39 of 82,3 of 10,1,0,4:47,10 of 42,10 of 11,0 of 0,12 of 43,6 of 8,2 of 2,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,1,1.0,287,300,20,53,39,82,3,10,10,42,10,11,0,0,12,43,6,8,2,2,4.0,7.8,2.0,2.0,0.0,2.4,1.2,0.4,0.37735849056603776,0.47560975609756095,0.3,0.23809523809523808,0.9090909090909091,0.0,0.27906976744186046,0.75,1.0,0.0,1.0,0.0,287.0,300.0,20.0,53.0,39.0,82.0,3.0,10.0,10.0,42.0,10.0,11.0,0.0,0.0,12.0,43.0,6.0,8.0,2.0,2.0,4.0,7.8,2.0,2.0,0.0,2.4,1.2,0.4
UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg - Ode Osbourne,Ode Osbourne,Bantamweight,L,0,35 of 74,47 of 89,1 of 2,0,1,1:09,20 of 53,4 of 7,11 of 14,29 of 68,1 of 1,5 of 5,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,0,0.0,69,300,35,74,47,89,1,2,20,53,4,7,11,14,29,68,1,1,5,5,7.0,9.4,4.0,0.8,2.2,5.8,0.2,1.0,0.47297297297297297,0.5280898876404494,0.5,0.37735849056603776,0.5714285714285714,0.7857142857142857,0.4264705882352941,1.0,1.0,0.0,0.0,1.0,69.0,300.0,35.0,74.0,47.0,89.0,1.0,2.0,20.0,53.0,4.0,7.0,11.0,14.0,29.0,68.0,1.0,1.0,5.0,5.0,7.0,9.4,4.0,0.8,2.2,5.8,0.2,1.0
UFC Fight Night: Dolidze vs. Hernandez,Julius Walker - Rafael Cerqueira,Julius Walker,Heavyweight,W,1,44 of 62,96 of 120,6 of 10,0,0,11:46,26 of 43,9 of 10,9 of 9,18 of 26,4 of 9,22 of 27,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,1,1.0,706,300,44,62,96,120,6,10,26,43,9,10,9,9,18,26,4,9,22,27,8.8,19.2,5.2,1.8,1.8,3.6,0.8,4.4,0.7096774193548387,0.8,0.6,0.6046511627906976,0.9,1.0,0.6923076923076923,0.4444444444444444,0.8148148148148148,1.0,0.0,0.0,706.0,300.0,44.0,62.0,96.0,120.0,6.0,10.0,26.0,43.0,9.0,10.0,9.0,9.0,18.0,26.0,4.0,9.0,22.0,27.0,8.8,19.2,5.2,1.8,1.8,3.6,0.8,4.4
UFC Fight Night: Dolidze vs. Hernandez,Julius Walker - Rafael Cerqueira,Rafael Cerqueira,Heavyweight,L,0,19 of 42,30 of 54,0 of 0,0,0,0:27,15 of 37,0 of 1,4 of 4,19 of 42,0 of 0,0 of 0,Decision,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran,0,0,0.0,27,300,19,42,30,54,0,0,15,37,0,1,4,4,19,42,0,0,0,0,3.8,6.0,3.0,0.0,0.8,3.8,0.0,0.0,0.4523809523809524,0.5555555555555556,0.0,0.40540540540540543,0.0,1.0,0.4523809523809524,0.0,0.0,0.0,0.0,0.0,27.0,300.0,19.0,42.0,30.0,54.0,0.0,0.0,15.0,37.0,0.0,1.0,4.0,4.0,19.0,42.0,0.0,0.0,0.0,0.0,3.8,6.0,3.0,0.0,0.8,3.8,0.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Joselyne Edwards - Priscila Cachoeira,Joselyne Edwards,Women's Bantamweight,W,1,26 of 44,26 of 44,0 of 2,0,0,0:01,16 of 29,5 of 10,5 of 5,24 of 42,0 of 0,2 of 2,KO/TKO,"Time:
        
        2:24","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,0,1,1.0,1,144,26,44,26,44,0,2,16,29,5,10,5,5,24,42,0,0,2,2,10.833333333333334,10.833333333333334,6.666666666666667,2.0833333333333335,2.0833333333333335,10.0,0.0,0.8333333333333334,0.5909090909090909,0.5909090909090909,0.0,0.5517241379310345,0.5,1.0,0.5714285714285714,0.0,1.0,1.0,0.0,0.0,1.0,144.0,26.0,44.0,26.0,44.0,0.0,2.0,16.0,29.0,5.0,10.0,5.0,5.0,24.0,42.0,0.0,0.0,2.0,2.0,10.833333333333334,10.833333333333334,6.666666666666667,2.0833333333333335,2.0833333333333335,10.0,0.0,0.8333333333333334
UFC Fight Night: Dolidze vs. Hernandez,Joselyne Edwards - Priscila Cachoeira,Priscila Cachoeira,Women's Bantamweight,L,0,18 of 50,18 of 50,0 of 0,0,0,0:00,15 of 47,1 of 1,2 of 2,18 of 50,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:24","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean,0,0,0.0,0,144,18,50,18,50,0,0,15,47,1,1,2,2,18,50,0,0,0,0,7.5,7.5,6.25,0.4166666666666667,0.8333333333333334,7.5,0.0,0.0,0.36,0.36,0.0,0.3191489361702128,1.0,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,144.0,18.0,50.0,18.0,50.0,0.0,0.0,15.0,47.0,1.0,1.0,2.0,2.0,18.0,50.0,0.0,0.0,0.0,0.0,7.5,7.5,6.25,0.4166666666666667,0.8333333333333334,7.5,0.0,0.0
UFC Fight Night: Dolidze vs. Hernandez,Eryk Anders - Christian Leroy Duncan,Eryk Anders,Middleweight,L,0,7 of 12,18 of 24,1 of 3,0,0,1:18,2 of 7,4 of 4,1 of 1,4 of 9,3 of 3,0 of 0,KO/TKO,"Time:
        
        3:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,0,0.0,78,233,7,12,18,24,1,3,2,7,4,4,1,1,4,9,3,3,0,0,1.8025751072961373,4.635193133047211,0.5150214592274678,1.0300429184549356,0.2575107296137339,1.0300429184549356,0.7725321888412017,0.0,0.5833333333333334,0.75,0.3333333333333333,0.2857142857142857,1.0,1.0,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,78.0,233.0,7.0,12.0,18.0,24.0,1.0,3.0,2.0,7.0,4.0,4.0,1.0,1.0,4.0,9.0,3.0,3.0,0.0,0.0,1.8025751072961373,4.635193133047211,0.5150214592274678,1.0300429184549356,0.2575107296137339,1.0300429184549356,0.7725321888412017,0.0
UFC Fight Night: Dolidze vs. Hernandez,Eryk Anders - Christian Leroy Duncan,Christian Leroy Duncan,Middleweight,W,1,24 of 43,27 of 46,0 of 0,0,0,0:39,9 of 26,3 of 4,12 of 13,20 of 37,3 of 3,1 of 3,KO/TKO,"Time:
        
        3:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith,0,1,1.0,39,233,24,43,27,46,0,0,9,26,3,4,12,13,20,37,3,3,1,3,6.180257510729613,6.952789699570816,2.3175965665236054,0.7725321888412017,3.0901287553648067,5.150214592274678,0.7725321888412017,0.2575107296137339,0.5581395348837209,0.5869565217391305,0.0,0.34615384615384615,0.75,0.9230769230769231,0.5405405405405406,1.0,0.3333333333333333,1.0,0.0,0.0,39.0,233.0,24.0,43.0,27.0,46.0,0.0,0.0,9.0,26.0,3.0,4.0,12.0,13.0,20.0,37.0,3.0,3.0,1.0,3.0,6.180257510729613,6.952789699570816,2.3175965665236054,0.7725321888412017,3.0901287553648067,5.150214592274678,0.7725321888412017,0.2575107296137339
UFC Fight Night: Dolidze vs. Hernandez,Elijah Smith - Toshiomi Kazama,Elijah Smith,Bantamweight,W,0,37 of 46,61 of 74,0 of 0,0,1,3:49,35 of 44,2 of 2,0 of 0,1 of 3,0 of 0,36 of 43,KO/TKO,"Time:
        
        4:10","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,1,1.0,229,250,37,46,61,74,0,0,35,44,2,2,0,0,1,3,0,0,36,43,8.879999999999999,14.639999999999999,8.399999999999999,0.48,0.0,0.24,0.0,8.639999999999999,0.8043478260869565,0.8243243243243243,0.0,0.7954545454545454,1.0,0.0,0.3333333333333333,0.0,0.8372093023255814,0.0,0.0,1.0,229.0,250.0,37.0,46.0,61.0,74.0,0.0,0.0,35.0,44.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,36.0,43.0,8.879999999999999,14.639999999999999,8.399999999999999,0.48,0.0,0.24,0.0,8.639999999999999
UFC Fight Night: Dolidze vs. Hernandez,Elijah Smith - Toshiomi Kazama,Toshiomi Kazama,Bantamweight,L,0,0 of 0,2 of 2,1 of 1,1,1,0:05,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,"Time:
        
        4:10","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni,0,0,0.0,5,250,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,250.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
