Event,Fight,Fighter,Weight Class,Winner,KD,Sig. Str.,Total Str.,TD,Sub. Att,Reversal,Control Time,Head,Body,Leg,Distance,Clinch,Ground,Method,Fight_lenght,Rounds,Format,Referee
UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg - Ode Osbourne,Steve Erceg,Bantamweight Bout,W,0,20 of 53,39 of 82,3 of 10,1,0,4:47,10 of 42,10 of 11,0 of 0,12 of 43,6 of 8,2 of 2,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg - Ode Osbourne,Ode Osbourne,Bantamweight Bout,L,0,35 of 74,47 of 89,1 of 2,0,1,1:09,20 of 53,4 of 7,11 of 14,29 of 68,1 of 1,5 of 5,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Julius Walker - Rafael Cerqueira,Julius Walker,Light Heavyweight Bout,W,1,44 of 62,96 of 120,6 of 10,0,0,11:46,26 of 43,9 of 10,9 of 9,18 of 26,4 of 9,22 of 27,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Julius Walker - Rafael Cerqueira,Rafael Cerqueira,Light Heavyweight Bout,L,0,19 of 42,30 of 54,0 of 0,0,0,0:27,15 of 37,0 of 1,4 of 4,19 of 42,0 of 0,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Joselyne Edwards - Priscila Cachoeira,Joselyne Edwards,Women's Bantamweight Bout,W,1,26 of 44,26 of 44,0 of 2,0,0,0:01,16 of 29,5 of 10,5 of 5,24 of 42,0 of 0,2 of 2,KO/TKO,"Time:
        
        2:24","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Joselyne Edwards - Priscila Cachoeira,Priscila Cachoeira,Women's Bantamweight Bout,L,0,18 of 50,18 of 50,0 of 0,0,0,0:00,15 of 47,1 of 1,2 of 2,18 of 50,0 of 0,0 of 0,KO/TKO,"Time:
        
        2:24","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Eryk Anders - Christian Leroy Duncan,Eryk Anders,Middleweight Bout,L,0,7 of 12,18 of 24,1 of 3,0,0,1:18,2 of 7,4 of 4,1 of 1,4 of 9,3 of 3,0 of 0,KO/TKO,"Time:
        
        3:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Eryk Anders - Christian Leroy Duncan,Christian Leroy Duncan,Middleweight Bout,W,1,24 of 43,27 of 46,0 of 0,0,0,0:39,9 of 26,3 of 4,12 of 13,20 of 37,3 of 3,1 of 3,KO/TKO,"Time:
        
        3:53","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Elijah Smith - Toshiomi Kazama,Elijah Smith,Bantamweight Bout,W,0,37 of 46,61 of 74,0 of 0,0,1,3:49,35 of 44,2 of 2,0 of 0,1 of 3,0 of 0,36 of 43,KO/TKO,"Time:
        
        4:10","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Dolidze vs. Hernandez,Elijah Smith - Toshiomi Kazama,Toshiomi Kazama,Bantamweight Bout,L,0,0 of 0,2 of 2,1 of 1,1,1,0:05,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,"Time:
        
        4:10","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Dolidze vs. Hernandez,Miles Johns - Jean Matsumoto,Miles Johns,Bantamweight Bout,L,0,83 of 184,89 of 191,5 of 8,0,0,3:12,70 of 170,12 of 13,1 of 1,78 of 175,5 of 8,0 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Miles Johns - Jean Matsumoto,Jean Matsumoto,Bantamweight Bout,W,0,95 of 233,109 of 249,0 of 3,2,1,0:56,49 of 160,27 of 38,19 of 35,87 of 224,8 of 9,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze - Anthony Hernandez,Roman Dolidze,Middleweight Bout,L,0,36 of 107,39 of 110,0 of 1,0,0,0:45,25 of 88,4 of 11,7 of 8,34 of 101,2 of 6,0 of 0,Submission,"Time:
        
        2:45","Round:
        
        4","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze - Anthony Hernandez,Anthony Hernandez,Middleweight Bout,W,0,91 of 152,120 of 187,9 of 11,1,0,7:48,67 of 128,6 of 6,18 of 18,48 of 102,13 of 18,30 of 32,Submission,"Time:
        
        2:45","Round:
        
        4","Time format:
        
        5 Rnd (5-5-5-5-5)",Herb Dean
UFC Fight Night: Dolidze vs. Hernandez,Cody Brundage - Eric McConico,Cody Brundage,Light Heavyweight Bout,L,0,31 of 65,43 of 78,3 of 7,0,0,5:28,26 of 57,3 of 5,2 of 3,19 of 45,12 of 20,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Dolidze vs. Hernandez,Cody Brundage - Eric McConico,Eric McConico,Light Heavyweight Bout,W,0,26 of 72,54 of 102,0 of 0,0,0,3:12,18 of 58,7 of 13,1 of 1,16 of 53,10 of 19,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Dolidze vs. Hernandez,Uros Medic - Gilbert Urbina,Uros Medic,Welterweight Bout,W,1,5 of 9,6 of 10,0 of 0,0,0,0:01,4 of 8,1 of 1,0 of 0,3 of 7,1 of 1,1 of 1,KO/TKO,"Time:
        
        1:03","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Uros Medic - Gilbert Urbina,Gilbert Urbina,Welterweight Bout,L,1,5 of 10,5 of 10,0 of 0,0,0,0:02,3 of 7,1 of 2,1 of 1,5 of 10,0 of 0,0 of 0,KO/TKO,"Time:
        
        1:03","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Dolidze vs. Hernandez,Gabriella Fernandes - Julija Stoliarenko,Gabriella Fernandes,Women's Flyweight Bout,W,0,59 of 114,59 of 114,0 of 0,0,0,0:00,38 of 91,15 of 17,6 of 6,58 of 112,1 of 2,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Gabriella Fernandes - Julija Stoliarenko,Julija Stoliarenko,Women's Flyweight Bout,L,0,61 of 161,64 of 167,0 of 6,0,0,1:14,28 of 117,13 of 20,20 of 24,56 of 154,5 of 7,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Andre Fili - Christian Rodriguez,Andre Fili,Featherweight Bout,W,0,64 of 182,74 of 193,3 of 5,0,0,1:42,52 of 164,6 of 10,6 of 8,62 of 179,2 of 3,0 of 0,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Andre Fili - Christian Rodriguez,Christian Rodriguez,Featherweight Bout,L,0,83 of 174,95 of 190,1 of 7,0,0,1:35,49 of 130,8 of 13,26 of 31,69 of 157,13 of 16,1 of 1,Decision - Split,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Mike Beltran
UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo - Angela Hill,Iasmin Lucindo,Women's Strawweight Bout,W,0,72 of 151,100 of 187,3 of 7,0,0,5:37,56 of 128,12 of 19,4 of 4,57 of 130,11 of 17,4 of 4,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo - Angela Hill,Angela Hill,Women's Strawweight Bout,L,0,64 of 110,80 of 129,0 of 5,1,0,1:19,42 of 84,19 of 23,3 of 3,52 of 92,12 of 18,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Chris Tognoni
UFC Fight Night: Taira vs. Park,Neil Magny - Elizeu Zaleski dos Santos,Neil Magny,Welterweight Bout,W,0,42 of 67,80 of 113,2 of 3,0,0,1:19,38 of 61,4 of 4,0 of 2,19 of 43,3 of 3,20 of 21,KO/TKO,"Time:
        
        4:39","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Neil Magny - Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Welterweight Bout,L,0,20 of 42,42 of 69,1 of 5,0,0,4:40,5 of 24,4 of 5,11 of 13,17 of 38,3 of 4,0 of 0,KO/TKO,"Time:
        
        4:39","Round:
        
        2","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
UFC Fight Night: Taira vs. Park,Karol Rosa - Nora Cornolle,Karol Rosa,Women's Bantamweight Bout,W,0,33 of 58,190 of 224,2 of 3,2,0,11:25,25 of 47,6 of 8,2 of 3,14 of 35,6 of 6,13 of 17,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Karol Rosa - Nora Cornolle,Nora Cornolle,Women's Bantamweight Bout,L,0,27 of 47,75 of 98,0 of 0,0,0,0:00,15 of 33,4 of 4,8 of 10,17 of 36,10 of 11,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Rafael Estevam - Felipe Bunes,Rafael Estevam,Flyweight Bout,W,0,33 of 70,128 of 204,5 of 9,0,0,10:42,22 of 50,5 of 14,6 of 6,25 of 57,1 of 1,7 of 12,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Rafael Estevam - Felipe Bunes,Felipe Bunes,Flyweight Bout,L,0,26 of 56,38 of 75,0 of 1,2,0,0:03,15 of 39,5 of 11,6 of 6,25 of 54,1 of 2,0 of 0,Decision - Unanimous,"Time:
        
        5:00","Round:
        
        3","Time format:
        
        3 Rnd (5-5-5)",Kerry Hatley
UFC Fight Night: Taira vs. Park,Austin Bashi - John Yannis,Austin Bashi,Featherweight Bout,W,0,2 of 7,48 of 67,1 of 1,1,0,2:53,2 of 7,0 of 0,0 of 0,2 of 6,0 of 0,0 of 1,Submission,"Time:
        
        3:39","Round:
        
        1","Time format:
        
        3 Rnd (5-5-5)",Mark Smith
