KD,Sub. Att,Reversal,Rounds,landed_sig. str.,atmp_sig. str.,landed_total str.,atmp_total str.,landed_td,atmp_td,landed_head,atmp_head,landed_body,atmp_body,landed_leg,atmp_leg,landed_distance,atmp_distance,landed_clinch,atmp_clinch,landed_ground,atmp_ground,Control Time Sec,Total_fight_length_sec,Sig_Str_Acc,Sig_Str_LpM,Total_Str_Acc,Total_Str_LpM,Head_Str_Acc,Head_Str_LpM,Body_Str_Acc,Body_Str_LpM,Leg_Str_Acc,Leg_Str_LpM,Distance_Str_Acc,Distance_Str_LpM,Clinch_Str_Acc,Clinch_Str_LpM,Ground_Str_Acc,Ground_Str_LpM,TD_Avg.,TD_Acc.,TD_Def.,Control_Ratio,height_cm,reach_cm,stance,age_at_fight_days,fighter
0.0,0.75,0.5,2.75,35.5,80.75,75.0,126.25,3.5,7.75,25.0,68.0,6.5,8.25,4.0,4.5,23.75,60.5,6.25,11.25,5.5,9.0,337.75,824.75,0.43881423495082517,2.4839176405119647,0.5930026886743327,5.326627712854758,0.38108056002792845,1.7755425709515862,0.8960526315789473,0.44170840289371177,0.475,0.26666666666666666,0.3907157924135853,1.6670840289371174,0.45833333333333326,0.41666666666666663,0.5854166666666667,0.40016694490818033,0.26583011583011584,0.41008771929824556,0.8333333333333334,0.43983444629938784,170.18,172.72,2.0,10961.25,Dan Argueta
0.0,0.0,0.0,3.0,98.0,221.0,132.0,245.0,2.0,4.0,67.0,180.0,24.0,34.0,2.0,2.0,85.0,203.0,10.0,11.0,0.0,1.0,91.0,900.0,0.5,8.466666666666667,0.5138888888888888,9.866666666666667,0.43103448275862066,6.242774566473988,0.8260869565217391,2.0,1.0,0.13333333333333333,0.48507462686567165,6.666666666666667,0.9090909090909091,0.6666666666666666,0.0,0.0,0.13333333333333333,0.5,0.0,0.10111111111111111,170.18,175.26,1.0,9531.0,Cody Haddon
0.2,0.6,0.0,2.4,31.2,54.6,77.2,113.4,2.0,3.6,24.6,44.6,3.2,6.8,3.0,3.0,9.4,23.2,0.6,0.6,15.6,21.6,378.2,599.0,0.517439246721072,3.034046891209308,0.6043270020781982,6.969668896894836,0.4752274607113317,2.3651157682422563,0.40595238095238095,0.2954949390976154,0.8,0.2684371247212215,0.355,0.8163801681248927,0.6,0.0432183908045977,0.574112554112554,1.595077755240027,0.1728049408131755,0.4866666666666667,1.0,0.5710434941520468,177.8,182.88,3.0,10856.0,Grant Dawson
0.0,0.2,0.0,2.6,44.2,93.6,79.2,131.6,2.2,5.4,30.8,75.8,5.6,8.8,3.8,4.4,33.2,78.4,5.4,6.2,3.6,6.0,168.2,738.4,0.4883894186686228,3.6611181381229443,0.6315088357093852,6.417084071169576,0.4633125875407229,2.691799706279029,0.6627450980392158,0.4108676954211991,0.7136363636363636,0.26033898305084746,0.43624154014999095,2.661549877729994,0.9384615384615385,0.3835230626528375,0.27301587301587305,0.29604519774011295,0.18101694915254238,0.3136363636363636,0.5636363636363637,0.21923163841807908,170.18,177.8,1.0,10440.8,Rafa Garcia
0.0,0.2,0.6,2.2,52.4,97.0,92.8,143.2,2.4,5.4,35.6,77.4,9.0,12.0,6.0,6.2,26.2,61.8,8.2,11.2,10.8,14.4,232.6,626.0,0.6229097886135829,4.39568056707639,0.7020487483530962,8.794533662190554,0.4472402621714261,2.9994611403240947,0.7576213260423786,0.7470576413629304,0.975,0.524218009085096,0.5411642313330496,1.9807342817044105,0.7150000000000001,0.7039700374531834,0.6684102636601399,1.1425562621503178,0.1958052434456929,0.33857142857142863,0.822857142857143,0.35600499375780276,182.88,180.34,3.0,11454.4,Jonathan Pearce
0.0,0.4,0.0,1.6,15.0,24.4,48.8,61.4,1.8,3.8,12.0,20.4,2.0,2.6,0.8,0.8,4.2,8.8,1.0,1.2,9.6,14.2,220.4,342.6,0.5642857142857143,2.527705487285052,0.659253086419753,6.540162601626017,0.4943434343434343,1.7934348034017424,0.6166666666666667,0.5448589191774271,0.6,0.18941176470588234,0.475,1.1026935312831392,0.7,0.2542706838833094,0.5737576285963384,1.181329507412721,0.21882352941176472,0.3866666666666666,0.8,0.38061293859649126,172.72,177.8,1.0,11894.0,Pat Sabatini
0.0,2.0,0.5,1.5,18.5,33.5,20.0,35.5,1.0,1.5,12.0,25.0,4.0,4.5,2.5,3.5,11.5,24.0,0.5,0.5,6.5,8.0,178.5,312.5,0.5833333333333333,2.827432354634427,0.5903225806451613,3.2666666666666666,0.49444444444444446,1.8386586067933217,0.9375,0.6415515256188831,0.35714285714285715,0.3472222222222222,0.5325581395348837,1.8552101324122048,0.5,0.06944444444444445,0.40625,0.9027777777777778,0.1388888888888889,0.3333333333333333,1.0,0.5264224716944924,167.64000000000001,167.64000000000001,1.0,10051.0,Clayton Carpenter
0.0,0.0,0.0,2.0,17.0,41.0,21.0,45.0,0.0,0.0,10.0,32.0,6.0,8.0,1.0,1.0,16.0,39.0,1.0,2.0,0.0,0.0,0.0,432.0,0.4146341463414634,2.361111111111111,0.4666666666666667,2.9166666666666665,0.3125,1.3888888888888888,0.75,0.8333333333333333,1.0,0.1388888888888889,0.41025641025641024,2.2222222222222223,0.5,0.1388888888888889,0.0,0.0,0.0,0.0,-1.0,0.0,162.56,165.1,1.0,8827.0,Lucas Rocha
0.0,0.0,0.0,2.4,56.4,93.4,72.4,115.2,0.0,0.8,20.8,47.0,21.0,30.4,9.2,11.2,30.2,58.6,13.8,20.0,4.2,7.0,143.6,668.6,0.5904512189474597,5.510382751937985,0.6209501901284131,6.890281007751939,0.42959549745824255,1.8512257751937988,0.7156207749102487,1.7733333333333334,0.8957575757575758,0.8805232558139535,0.5301993013421585,2.986438953488372,0.7954960981047938,1.4133333333333333,0.12,0.27999999999999997,0.0,0.0,1.0,0.1940441698966408,190.5,200.66,1.0,12682.6,Chidi Njokuani
0.2,0.4,0.0,2.4,43.8,79.2,67.4,105.4,0.8,2.0,19.6,47.6,12.8,18.4,8.0,9.2,37.8,72.0,3.8,4.0,2.2,3.2,49.4,627.8,0.5547246990830018,5.413333333333334,0.6411761987713726,7.685390835579514,0.45134236012316065,3.0359403580387334,0.5611111111111111,1.1066666666666667,0.8924242424242423,1.0740700808625339,0.5240427040095914,4.44,0.7666666666666667,0.27234501347708895,0.38,0.48090904286242797,0.13901168014375562,0.45,0.0,0.12180962951218224,182.88,195.58,1.0,10636.2,Jared Gooden
